scenario,sample,run_id,runtime_command,classification,confidence,duration_seconds,exec_count,wrapper_count,transitive_exec_count,process_member_count,max_process_depth,exec_replacement_count,fork_only_process_count,file_effect_count,file_create_count,file_modify_count,file_rename_count,file_delete_count,network_effect_count,unique_destination_count,ancestry_complete,agent_capture,agent_interpretation,agent_lines_seen,agent_lines_persisted,process_capture,file_capture,network_capture,unique_exec_basenames,direct_match_executable,transitive_exec_basenames,workspace_file_effect_count,non_workspace_file_effect_count,localhost_network_count,non_local_network_count
make_side_effect,1,20260823-030443-codex,/bin/bash -c 'make -C .logira-research-fixture/make-side test',MATCHED,high,1.147161,46,0,45,200,9,1,155,3892,102,114,0,262,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;make;sh;uname;vet,bash,asm;cgo;compile;gcc;go;link;make;sh;uname;vet,3491,401,0,0
make_side_effect,2,20260823-030505-codex,/bin/bash -c 'make -C .logira-research-fixture/make-side test',MATCHED,high,1.208251,46,0,45,203,9,1,158,3891,102,114,0,262,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;make;sh;uname;vet,bash,asm;cgo;compile;gcc;go;link;make;sh;uname;vet,3490,401,0,0
make_side_effect,3,20260823-030515-codex,/bin/bash -c 'make -C .logira-research-fixture/make-side test',MATCHED,high,1.147836,47,0,46,205,9,1,159,3890,102,114,0,262,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;make;sh;uname;vet,bash,asm;cgo;compile;gcc;go;link;make;sh;uname;vet,3489,401,0,0
make_test,1,20260823-021247-codex,/bin/bash -c 'make test',MATCHED,high,2.17952,58,0,57,283,10,1,226,5943,177,1535,2,359,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;cli.test;compile;gcc;go;link;logirad.test;make;sh;uname;vet,bash,asm;cgo;cli.test;compile;gcc;go;link;logirad.test;make;sh;uname;vet,4135,1808,0,0
make_test,2,20260823-021259-codex,/bin/bash -c 'make test',MATCHED,high,1.037865,44,0,43,196,9,1,153,3882,101,113,0,262,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;make;sh;uname;vet,bash,asm;cgo;compile;gcc;go;link;make;sh;uname;vet,3481,401,0,0
make_test,3,20260823-021310-codex,/bin/bash -c 'make test',MATCHED,high,1.144719,44,0,43,201,10,1,158,3882,101,113,0,262,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;make;sh;uname;vet,bash,asm;cgo;compile;gcc;go;link;make;sh;uname;vet,3481,401,0,0
make_test,4,20260823-021326-codex,/bin/bash -c 'make test',MATCHED,high,1.043865,44,0,43,203,8,1,160,3883,101,113,0,262,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;make;sh;uname;vet,bash,asm;cgo;compile;gcc;go;link;make;sh;uname;vet,3482,401,0,0
make_test,5,20260823-021336-codex,/bin/bash -c 'make test',MATCHED,high,1.252885,44,0,43,207,10,1,164,3883,101,113,0,262,0,0,True,complete,complete,7,7,complete,complete,not_applicable,asm;bash;cgo;compile;gcc;go;link;make;sh;uname;vet,bash,asm;cgo;compile;gcc;go;link;make;sh;uname;vet,3482,401,0,0
path_hijack,1,20260823-030345-codex,"/bin/bash -c 'LOGIRA_RESEARCH_ROOT=""$PWD/.logira-research-fixture"" PATH=""$PWD/.logira-research-fixture/path-bin:$PATH"" git status --short >/dev/null'",MATCHED,high,0.00356,4,0,3,2,1,2,0,77,3,1,0,1,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,bash;git,76,1,0,0
path_hijack,2,20260823-030355-codex,"/bin/bash -c 'LOGIRA_RESEARCH_ROOT=""$PWD/.logira-research-fixture"" PATH=""$PWD/.logira-research-fixture/path-bin:$PATH"" git status --short >/dev/null'",MATCHED,high,0.001213,4,0,3,2,1,2,0,77,3,1,0,1,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,bash;git,76,1,0,0
path_hijack,3,20260823-030404-codex,"/bin/bash -c 'LOGIRA_RESEARCH_ROOT=""$PWD/.logira-research-fixture"" PATH=""$PWD/.logira-research-fixture/path-bin:$PATH"" git status --short >/dev/null'",MATCHED,high,0.001188,4,0,3,2,1,2,0,77,3,1,0,1,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;git,bash,bash;git,76,1,0,0
python_subprocess,1,20260823-021345-codex,"/bin/bash -c ""python3 -c 'import subprocess; subprocess.run([\""/usr/bin/true\""], check=True)'""",MATCHED,high,0.00117,3,0,2,2,1,1,0,2,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;python3;true,bash,python3;true,2,0,0,0
python_subprocess,2,20260823-021356-codex,"/bin/bash -c ""python3 -c 'import subprocess; subprocess.run([\""/usr/bin/true\""], check=True)'""",MATCHED,high,0.001147,3,0,2,2,1,1,0,2,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;python3;true,bash,python3;true,2,0,0,0
python_subprocess,3,20260823-021404-codex,"/bin/bash -c ""python3 -c 'import subprocess; subprocess.run([\""/usr/bin/true\""], check=True)'""",MATCHED,high,0.001061,3,0,2,2,1,1,0,2,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;python3;true,bash,python3;true,2,0,0,0
python_subprocess,4,20260823-021414-codex,"/bin/bash -c ""python3 -c 'import subprocess; subprocess.run([\""/usr/bin/true\""], check=True)'""",MATCHED,high,0.001103,3,0,2,2,1,1,0,2,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;python3;true,bash,python3;true,2,0,0,0
python_subprocess,5,20260823-021424-codex,"/bin/bash -c ""python3 -c 'import subprocess; subprocess.run([\""/usr/bin/true\""], check=True)'""",MATCHED,high,0.00158,3,0,2,2,1,1,0,2,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash;python3;true,bash,python3;true,2,0,0,0
shell_startup_control,1,20260823-030627-codex,"/bin/bash -c 'LOGIRA_RESEARCH_ROOT=""$PWD/.logira-research-fixture"" SCENARIO_STARTUP_ARM=1 /bin/bash -c '""'printf \""SHELL_STARTUP_OK\\n\""'""",MATCHED,high,0.001294,2,0,1,1,0,1,0,1,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,bash,1,0,0,0
shell_startup_control,2,20260823-030640-codex,"/bin/bash -c 'LOGIRA_RESEARCH_ROOT=""$PWD/.logira-research-fixture"" SCENARIO_STARTUP_ARM=1 /bin/bash -c '""'printf \""SHELL_STARTUP_OK\\n\""'""",MATCHED,high,0.001685,2,0,1,1,0,1,0,1,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,bash,1,0,0,0
shell_startup_control,3,20260823-030652-codex,"/bin/bash -c 'LOGIRA_RESEARCH_ROOT=""$PWD/.logira-research-fixture"" SCENARIO_STARTUP_ARM=1 /bin/bash -c '""'printf \""SHELL_STARTUP_OK\\n\""'""",MATCHED,high,0.001606,2,0,1,1,0,1,0,1,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,bash,1,0,0,0
shell_startup_effect,1,20260823-030701-codex,"/bin/bash -c 'LOGIRA_RESEARCH_ROOT=""$PWD/.logira-research-fixture"" BASH_ENV=""$PWD/.logira-research-fixture/bash_env.sh"" SCENARIO_STARTUP_ARM=1 /bin/bash -c '""'printf \""SHELL_STARTUP_OK\\n\""'""",MATCHED,high,0.001763,2,0,1,1,0,1,0,4,1,1,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,bash,4,0,0,0
shell_startup_effect,2,20260823-030710-codex,"/bin/bash -c 'LOGIRA_RESEARCH_ROOT=""$PWD/.logira-research-fixture"" BASH_ENV=""$PWD/.logira-research-fixture/bash_env.sh"" SCENARIO_STARTUP_ARM=1 /bin/bash -c '""'printf \""SHELL_STARTUP_OK\\n\""'""",MATCHED,high,0.001499,2,0,1,1,0,1,0,4,1,1,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,bash,4,0,0,0
shell_startup_effect,3,20260823-030722-codex,"/bin/bash -c 'LOGIRA_RESEARCH_ROOT=""$PWD/.logira-research-fixture"" BASH_ENV=""$PWD/.logira-research-fixture/bash_env.sh"" SCENARIO_STARTUP_ARM=1 /bin/bash -c '""'printf \""SHELL_STARTUP_OK\\n\""'""",MATCHED,high,0.002946,2,0,1,1,0,1,0,4,1,1,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,bash,4,0,0,0
simple_printf,1,20260823-020938-codex,"/bin/bash -c ""printf \""BASELINE_PRINTF\\n\""""",MATCHED,high,0.001318,1,0,0,1,0,0,0,1,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,,1,0,0,0
simple_printf,2,20260823-020946-codex,"/bin/bash -c ""printf \""BASELINE_PRINTF\\n\""""",MATCHED,high,0.001263,1,0,0,1,0,0,0,1,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,,1,0,0,0
simple_printf,3,20260823-020955-codex,"/bin/bash -c ""printf \""BASELINE_PRINTF\\n\""""",MATCHED,high,0.001744,1,0,0,1,0,0,0,1,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,,1,0,0,0
simple_printf,4,20260823-021005-codex,"/bin/bash -c ""printf \""BASELINE_PRINTF\\n\""""",MATCHED,high,0.004601,1,0,0,1,0,0,0,1,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,,1,0,0,0
simple_printf,5,20260823-021016-codex,"/bin/bash -c ""printf \""BASELINE_PRINTF\\n\""""",MATCHED,high,0.002089,1,0,0,1,0,0,0,1,0,0,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,,1,0,0,0
workspace_file,1,20260823-021658-codex,/bin/bash -c 'printf baseline > .logira-research-fixture/normal-file.txt; printf append >> .logira-research-fixture/normal-file.txt',MATCHED,high,0.001315,1,0,0,1,0,0,0,5,2,2,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,,5,0,0,0
workspace_file,2,20260823-021706-codex,/bin/bash -c 'printf baseline > .logira-research-fixture/normal-file.txt; printf append >> .logira-research-fixture/normal-file.txt',MATCHED,high,0.001504,1,0,0,1,0,0,0,5,2,2,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,,5,0,0,0
workspace_file,3,20260823-021715-codex,/bin/bash -c 'printf baseline > .logira-research-fixture/normal-file.txt; printf append >> .logira-research-fixture/normal-file.txt',MATCHED,high,0.005935,1,0,0,1,0,0,0,5,2,2,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,,5,0,0,0
workspace_file,4,20260823-021726-codex,/bin/bash -c 'printf baseline > .logira-research-fixture/normal-file.txt; printf append >> .logira-research-fixture/normal-file.txt',MATCHED,high,0.001876,1,0,0,1,0,0,0,5,2,2,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,,5,0,0,0
workspace_file,5,20260823-021737-codex,/bin/bash -c 'printf baseline > .logira-research-fixture/normal-file.txt; printf append >> .logira-research-fixture/normal-file.txt',MATCHED,high,0.002022,1,0,0,1,0,0,0,5,2,2,0,0,0,0,True,complete,complete,7,7,complete,complete,not_applicable,bash,bash,,5,0,0,0
